Death Penalty Status,Murder Rate,Number of Records,Region,State,Year
No Death Penalty,2.17,1,Midwest,North Dakota,1/1/1996
Death Penalty,4.82,1,Midwest,Ohio,1/1/1996
Death Penalty,6.76,1,South,Oklahoma,1/1/1996
Death Penalty,4.03,1,West,Oregon,1/1/1996
Death Penalty,5.69,1,Northeast,Pennsylvania,1/1/1996
No Death Penalty,2.53,1,Northeast,Rhode Island,1/1/1996
Death Penalty,8.98,1,South,South Carolina,1/1/1996
Death Penalty,1.23,1,Midwest,South Dakota,1/1/1996
Death Penalty,9.45,1,South,Tennessee,1/1/1996
Death Penalty,7.72,1,South,Texas,1/1/1996
Death Penalty,3.15,1,West,Utah,1/1/1996
No Death Penalty,1.87,1,Northeast,Vermont,1/1/1996
Death Penalty,7.49,1,South,Virginia,1/1/1996
Death Penalty,4.61,1,West,Washington,1/1/1996
No Death Penalty,3.78,1,South,West Virginia,1/1/1996
No Death Penalty,3.95,1,Midwest,Wisconsin,1/1/1996
Death Penalty,3.33,1,West,Wyoming,1/1/1996
Death Penalty,9.86,1,South,Alabama,1/1/1997
No Death Penalty,8.87,1,West,Alaska,1/1/1997
Death Penalty,8.23,1,West,Arizona,1/1/1997
Death Penalty,9.91,1,South,Arkansas,1/1/1997
Death Penalty,7.99,1,West,California,1/1/1997
Death Penalty,4.03,1,West,Colorado,1/1/1997
Death Penalty,3.79,1,Northeast,Connecticut,1/1/1997
Death Penalty,3.01,1,South,Delaware,1/1/1997
Death Penalty,6.91,1,South,Florida,1/1/1997
Death Penalty,7.52,1,South,Georgia,1/1/1997
No Death Penalty,3.96,1,West,Hawaii,1/1/1997
Death Penalty,3.22,1,West,Idaho,1/1/1997
Death Penalty,9.21,1,Midwest,Illinois,1/1/1997
Death Penalty,7.33,1,Midwest,Indiana,1/1/1997
No Death Penalty,1.82,1,Midwest,Iowa,1/1/1997
Death Penalty,5.78,1,Midwest,Kansas,1/1/1997
Death Penalty,5.83,1,South,Kentucky,1/1/1997
Death Penalty,15.67,1,South,Louisiana,1/1/1997
No Death Penalty,2.01,1,Northeast,Maine,1/1/1997
Death Penalty,9.85,1,South,Maryland,1/1/1997
No Death Penalty,1.95,1,Northeast,Massachusetts,1/1/1997
No Death Penalty,7.77,1,Midwest,Michigan,1/1/1997
No Death Penalty,2.75,1,Midwest,Minnesota,1/1/1997
Death Penalty,13.11,1,South,Mississippi,1/1/1997
Death Penalty,7.89,1,Midwest,Missouri,1/1/1997
Death Penalty,4.78,1,West,Montana,1/1/1997
Death Penalty,3.02,1,Midwest,Nebraska,1/1/1997
Death Penalty,11.15,1,West,Nevada,1/1/1997
Death Penalty,1.36,1,Northeast,New Hampshire,1/1/1997
Death Penalty,4.18,1,Northeast,New Jersey,1/1/1997
Death Penalty,7.75,1,West,New Mexico,1/1/1997
Death Penalty,6.03,1,Northeast,New York,1/1/1997
Death Penalty,8.27,1,South,North Carolina,1/1/1997
No Death Penalty,0.94,1,Midwest,North Dakota,1/1/1997
Death Penalty,4.68,1,Midwest,Ohio,1/1/1997
Death Penalty,6.9,1,South,Oklahoma,1/1/1997
Death Penalty,2.93,1,West,Oregon,1/1/1997
Death Penalty,5.87,1,Northeast,Pennsylvania,1/1/1997
No Death Penalty,2.53,1,Northeast,Rhode Island,1/1/1997
Death Penalty,8.35,1,South,South Carolina,1/1/1997
Death Penalty,1.36,1,Midwest,South Dakota,1/1/1997
Death Penalty,9.52,1,South,Tennessee,1/1/1997
Death Penalty,6.83,1,South,Texas,1/1/1997
Death Penalty,2.43,1,West,Utah,1/1/1997
No Death Penalty,1.53,1,Northeast,Vermont,1/1/1997
Death Penalty,7.25,1,South,Virginia,1/1/1997
Death Penalty,4.35,1,West,Washington,1/1/1997
No Death Penalty,4.13,1,South,West Virginia,1/1/1997
No Death Penalty,3.97,1,Midwest,Wisconsin,1/1/1997
Death Penalty,3.54,1,West,Wyoming,1/1/1997
Death Penalty,8.13,1,South,Alabama,1/1/1998
No Death Penalty,6.68,1,West,Alaska,1/1/1998
Death Penalty,8.05,1,West,Arizona,1/1/1998
Death Penalty,7.92,1,South,Arkansas,1/1/1998
Death Penalty,6.65,1,West,California,1/1/1998
Death Penalty,4.61,1,West,Colorado,1/1/1998
Death Penalty,4.12,1,Northeast,Connecticut,1/1/1998
Death Penalty,2.82,1,South,Delaware,1/1/1998
Death Penalty,6.48,1,South,Florida,1/1/1998
Death Penalty,8.09,1,South,Georgia,1/1/1998
No Death Penalty,2.01,1,West,Hawaii,1/1/1998
Death Penalty,2.93,1,West,Idaho,1/1/1998
Death Penalty,8.37,1,Midwest,Illinois,1/1/1998
Death Penalty,7.7,1,Midwest,Indiana,1/1/1998
No Death Penalty,1.89,1,Midwest,Iowa,1/1/1998
Death Penalty,6.58,1,Midwest,Kansas,1/1/1998
Death Penalty,6.02,1,South,Kentucky,1/1/1998
Death Penalty,12.82,1,South,Louisiana,1/1/1998
No Death Penalty,2.09,1,Northeast,Maine,1/1/1998
Death Penalty,9.99,1,South,Maryland,1/1/1998
No Death Penalty,2.02,1,Northeast,Massachusetts,1/1/1998
No Death Penalty,7.34,1,Midwest,Michigan,1/1/1998
No Death Penalty,2.56,1,Midwest,Minnesota,1/1/1998
Death Penalty,11.45,1,South,Mississippi,1/1/1998
Death Penalty,7.34,1,Midwest,Missouri,1/1/1998
Death Penalty,2.05,1,West,Montana,1/1/1998
Death Penalty,3.07,1,Midwest,Nebraska,1/1/1998
Death Penalty,9.73,1,West,Nevada,1/1/1998
Death Penalty,1.52,1,Northeast,New Hampshire,1/1/1998
Death Penalty,4,1,Northeast,New Jersey,1/1/1998
Death Penalty,10.94,1,West,New Mexico,1/1/1998
Death Penalty,5.08,1,Northeast,New York,1/1/1998
Death Penalty,8.11,1,South,North Carolina,1/1/1998
No Death Penalty,1.1,1,Midwest,North Dakota,1/1/1998
Death Penalty,3.95,1,Midwest,Ohio,1/1/1998
Death Penalty,6.1,1,South,Oklahoma,1/1/1998
Death Penalty,3.84,1,West,Oregon,1/1/1998
Death Penalty,5.27,1,Northeast,Pennsylvania,1/1/1998
No Death Penalty,2.43,1,Northeast,Rhode Island,1/1/1998
Death Penalty,7.98,1,South,South Carolina,1/1/1998
Death Penalty,1.36,1,Midwest,South Dakota,1/1/1998
Death Penalty,8.47,1,South,Tennessee,1/1/1998
Death Penalty,6.81,1,South,Texas,1/1/1998
Death Penalty,3.1,1,West,Utah,1/1/1998
No Death Penalty,2.2,1,Northeast,Vermont,1/1/1998
Death Penalty,6.21,1,South,Virginia,1/1/1998
Death Penalty,3.94,1,West,Washington,1/1/1998
No Death Penalty,4.31,1,South,West Virginia,1/1/1998
No Death Penalty,3.64,1,Midwest,Wisconsin,1/1/1998
Death Penalty,4.78,1,West,Wyoming,1/1/1998
Death Penalty,7.89,1,South,Alabama,1/1/1999
No Death Penalty,8.39,1,West,Alaska,1/1/1999
Death Penalty,8.04,1,West,Arizona,1/1/1999
Death Penalty,5.6,1,South,Arkansas,1/1/1999
Death Penalty,6.05,1,West,California,1/1/1999
Death Penalty,4.56,1,West,Colorado,1/1/1999
Death Penalty,3.26,1,Northeast,Connecticut,1/1/1999
Death Penalty,3.18,1,South,Delaware,1/1/1999
Death Penalty,5.68,1,South,Florida,1/1/1999
Death Penalty,7.49,1,South,Georgia,1/1/1999
No Death Penalty,3.71,1,West,Hawaii,1/1/1999
Death Penalty,2,1,West,Idaho,1/1/1999
Death Penalty,7.74,1,Midwest,Illinois,1/1/1999
Death Penalty,6.58,1,Midwest,Indiana,1/1/1999
No Death Penalty,1.5,1,Midwest,Iowa,1/1/1999
Death Penalty,6.03,1,Midwest,Kansas,1/1/1999
Death Penalty,5.13,1,South,Kentucky,1/1/1999
Death Penalty,10.7,1,South,Louisiana,1/1/1999
No Death Penalty,2,1,Northeast,Maine,1/1/1999
Death Penalty,8.99,1,South,Maryland,1/1/1999
No Death Penalty,1.98,1,Northeast,Massachusetts,1/1/1999
No Death Penalty,7.05,1,Midwest,Michigan,1/1/1999
No Death Penalty,2.81,1,Midwest,Minnesota,1/1/1999
Death Penalty,7.69,1,South,Mississippi,1/1/1999
Death Penalty,6.57,1,Midwest,Missouri,1/1/1999
Death Penalty,2.49,1,West,Montana,1/1/1999
Death Penalty,3.6,1,Midwest,Nebraska,1/1/1999
Death Penalty,9.12,1,West,Nevada,1/1/1999
Death Penalty,1.5,1,Northeast,New Hampshire,1/1/1999
Death Penalty,3.52,1,Northeast,New Jersey,1/1/1999
Death Penalty,9.77,1,West,New Mexico,1/1/1999
Death Penalty,4.96,1,Northeast,New York,1/1/1999
Death Penalty,7.21,1,South,North Carolina,1/1/1999
No Death Penalty,1.58,1,Midwest,North Dakota,1/1/1999
Death Penalty,3.53,1,Midwest,Ohio,1/1/1999
Death Penalty,6.88,1,South,Oklahoma,1/1/1999
Death Penalty,2.65,1,West,Oregon,1/1/1999
Death Penalty,4.94,1,Northeast,Pennsylvania,1/1/1999
No Death Penalty,3.63,1,Northeast,Rhode Island,1/1/1999
Death Penalty,6.64,1,South,South Carolina,1/1/1999
Death Penalty,2.46,1,Midwest,South Dakota,1/1/1999
Death Penalty,7.13,1,South,Tennessee,1/1/1999
Death Penalty,6.07,1,South,Texas,1/1/1999
Death Penalty,2.07,1,West,Utah,1/1/1999
No Death Penalty,2.86,1,Northeast,Vermont,1/1/1999
Death Penalty,5.7,1,South,Virginia,1/1/1999
Death Penalty,2.97,1,West,Washington,1/1/1999
No Death Penalty,4.37,1,South,West Virginia,1/1/1999
No Death Penalty,3.41,1,Midwest,Wisconsin,1/1/1999
Death Penalty,2.29,1,West,Wyoming,1/1/1999
Death Penalty,7.4,1,South,Alabama,1/1/2000
No Death Penalty,4.31,1,West,Alaska,1/1/2000
Death Penalty,7,1,West,Arizona,1/1/2000
Death Penalty,6.28,1,South,Arkansas,1/1/2000
Death Penalty,6.14,1,West,California,1/1/2000
Death Penalty,3.12,1,West,Colorado,1/1/2000
Death Penalty,2.88,1,Northeast,Connecticut,1/1/2000
Death Penalty,3.19,1,South,Delaware,1/1/2000
Death Penalty,5.65,1,South,Florida,1/1/2000
Death Penalty,7.95,1,South,Georgia,1/1/2000
No Death Penalty,2.89,1,West,Hawaii,1/1/2000
Death Penalty,1.24,1,West,Idaho,1/1/2000
Death Penalty,7.23,1,Midwest,Illinois,1/1/2000
Death Penalty,5.79,1,Midwest,Indiana,1/1/2000
No Death Penalty,1.57,1,Midwest,Iowa,1/1/2000
Death Penalty,6.29,1,Midwest,Kansas,1/1/2000
Death Penalty,4.78,1,South,Kentucky,1/1/2000
Death Penalty,12.53,1,South,Louisiana,1/1/2000
No Death Penalty,1.18,1,Northeast,Maine,1/1/2000
Death Penalty,8.12,1,South,Maryland,1/1/2000
No Death Penalty,1.97,1,Northeast,Massachusetts,1/1/2000
No Death Penalty,6.73,1,Midwest,Michigan,1/1/2000
No Death Penalty,3.07,1,Midwest,Minnesota,1/1/2000
Death Penalty,8.96,1,South,Mississippi,1/1/2000
Death Penalty,6.2,1,Midwest,Missouri,1/1/2000
Death Penalty,2.22,1,West,Montana,1/1/2000
Death Penalty,3.68,1,Midwest,Nebraska,1/1/2000
Death Penalty,6.46,1,West,Nevada,1/1/2000
Death Penalty,1.78,1,Northeast,New Hampshire,1/1/2000
Death Penalty,3.43,1,Northeast,New Jersey,1/1/2000
Death Penalty,7.42,1,West,New Mexico,1/1/2000
Death Penalty,5.02,1,Northeast,New York,1/1/2000
Death Penalty,6.96,1,South,North Carolina,1/1/2000
No Death Penalty,0.62,1,Midwest,North Dakota,1/1/2000
Death Penalty,3.68,1,Midwest,Ohio,1/1/2000
Death Penalty,5.27,1,South,Oklahoma,1/1/2000
Death Penalty,2.05,1,West,Oregon,1/1/2000
Death Penalty,4.9,1,Northeast,Pennsylvania,1/1/2000
No Death Penalty,4.29,1,Northeast,Rhode Island,1/1/2000
Death Penalty,7.25,1,South,South Carolina,1/1/2000
Death Penalty,0.93,1,Midwest,South Dakota,1/1/2000
Death Penalty,7.21,1,South,Tennessee,1/1/2000
Death Penalty,5.94,1,South,Texas,1/1/2000
Death Penalty,1.93,1,West,Utah,1/1/2000
No Death Penalty,1.48,1,Northeast,Vermont,1/1/2000
Death Penalty,5.67,1,South,Virginia,1/1/2000
Death Penalty,3.33,1,West,Washington,1/1/2000
No Death Penalty,2.54,1,South,West Virginia,1/1/2000
No Death Penalty,3.15,1,Midwest,Wisconsin,1/1/2000
Death Penalty,2.43,1,West,Wyoming,1/1/2000
Death Penalty,8.48,1,South,Alabama,1/1/2001
No Death Penalty,6.16,1,West,Alaska,1/1/2001
Death Penalty,7.54,1,West,Arizona,1/1/2001
Death Penalty,5.49,1,South,Arkansas,1/1/2001
Death Penalty,6.38,1,West,California,1/1/2001
Death Penalty,3.57,1,West,Colorado,1/1/2001
Death Penalty,3.06,1,Northeast,Connecticut,1/1/2001
Death Penalty,2.89,1,South,Delaware,1/1/2001
Death Penalty,5.34,1,South,Florida,1/1/2001
Death Penalty,7.11,1,South,Georgia,1/1/2001
No Death Penalty,2.61,1,West,Hawaii,1/1/2001
Death Penalty,2.27,1,West,Idaho,1/1/2001
Death Penalty,7.84,1,Midwest,Illinois,1/1/2001
Death Penalty,6.74,1,Midwest,Indiana,1/1/2001
No Death Penalty,1.71,1,Midwest,Iowa,1/1/2001
Death Penalty,3.4,1,Midwest,Kansas,1/1/2001
Death Penalty,4.45,1,South,Kentucky,1/1/2001
Death Penalty,11.21,1,South,Louisiana,1/1/2001
No Death Penalty,1.48,1,Northeast,Maine,1/1/2001
Death Penalty,8.28,1,South,Maryland,1/1/2001
No Death Penalty,2.23,1,Northeast,Massachusetts,1/1/2001
No Death Penalty,6.72,1,Midwest,Michigan,1/1/2001
No Death Penalty,2.39,1,Midwest,Minnesota,1/1/2001
Death Penalty,9.86,1,South,Mississippi,1/1/2001
Death Penalty,6.6,1,Midwest,Missouri,1/1/2001
Death Penalty,3.76,1,West,Montana,1/1/2001
Death Penalty,2.5,1,Midwest,Nebraska,1/1/2001
Death Penalty,8.58,1,West,Nevada,1/1/2001
Death Penalty,1.35,1,Northeast,New Hampshire,1/1/2001
Death Penalty,3.95,1,Northeast,New Jersey,1/1/2001
Death Penalty,5.41,1,West,New Mexico,1/1/2001
Death Penalty,5.03,1,Northeast,New York,1/1/2001
Death Penalty,6.15,1,South,North Carolina,1/1/2001
No Death Penalty,1.1,1,Midwest,North Dakota,1/1/2001
Death Penalty,3.97,1,Midwest,Ohio,1/1/2001
Death Penalty,5.33,1,South,Oklahoma,1/1/2001
Death Penalty,2.42,1,West,Oregon,1/1/2001
Death Penalty,5.29,1,Northeast,Pennsylvania,1/1/2001
No Death Penalty,3.68,1,Northeast,Rhode Island,1/1/2001
Death Penalty,8.12,1,South,South Carolina,1/1/2001
Death Penalty,0.92,1,Midwest,South Dakota,1/1/2001
Death Penalty,7.36,1,South,Tennessee,1/1/2001
Death Penalty,6.23,1,South,Texas,1/1/2001
Death Penalty,2.94,1,West,Utah,1/1/2001
No Death Penalty,1.14,1,Northeast,Vermont,1/1/2001
Death Penalty,5.06,1,South,Virginia,1/1/2001
Death Penalty,2.99,1,West,Washington,1/1/2001
No Death Penalty,2.22,1,South,West Virginia,1/1/2001
No Death Penalty,3.55,1,Midwest,Wisconsin,1/1/2001
Death Penalty,1.82,1,West,Wyoming,1/1/2001
Death Penalty,6.77,1,South,Alabama,1/1/2002
No Death Penalty,5.14,1,West,Alaska,1/1/2002
Death Penalty,7.11,1,West,Arizona,1/1/2002
Death Penalty,5.25,1,South,Arkansas,1/1/2002
Death Penalty,6.84,1,West,California,1/1/2002
Death Penalty,3.98,1,West,Colorado,1/1/2002
Death Penalty,2.43,1,Northeast,Connecticut,1/1/2002
Death Penalty,3.23,1,South,Delaware,1/1/2002
Death Penalty,5.46,1,South,Florida,1/1/2002
Death Penalty,7.09,1,South,Georgia,1/1/2002
No Death Penalty,1.93,1,West,Hawaii,1/1/2002
Death Penalty,2.68,1,West,Idaho,1/1/2002
Death Penalty,7.64,1,Midwest,Illinois,1/1/2002
Death Penalty,5.88,1,Midwest,Indiana,1/1/2002
No Death Penalty,1.5,1,Midwest,Iowa,1/1/2002
Death Penalty,2.88,1,Midwest,Kansas,1/1/2002
Death Penalty,4.67,1,South,Kentucky,1/1/2002
Death Penalty,13.25,1,South,Louisiana,1/1/2002
No Death Penalty,1.08,1,Northeast,Maine,1/1/2002
Death Penalty,9.41,1,South,Maryland,1/1/2002
No Death Penalty,2.69,1,Northeast,Massachusetts,1/1/2002
No Death Penalty,6.75,1,Midwest,Michigan,1/1/2002
No Death Penalty,2.23,1,Midwest,Minnesota,1/1/2002
Death Penalty,9.21,1,South,Mississippi,1/1/2002
Death Penalty,5.84,1,Midwest,Missouri,1/1/2002
Death Penalty,1.76,1,West,Montana,1/1/2002
Death Penalty,2.78,1,Midwest,Nebraska,1/1/2002
Death Penalty,8.35,1,West,Nevada,1/1/2002
Death Penalty,0.94,1,Northeast,New Hampshire,1/1/2002
Death Penalty,3.95,1,Northeast,New Jersey,1/1/2002
Death Penalty,8.21,1,West,New Mexico,1/1/2002
Death Penalty,4.75,1,Northeast,New York,1/1/2002
Death Penalty,6.6,1,South,North Carolina,1/1/2002
No Death Penalty,0.79,1,Midwest,North Dakota,1/1/2002
Death Penalty,4.61,1,Midwest,Ohio,1/1/2002
Death Penalty,4.67,1,South,Oklahoma,1/1/2002
Death Penalty,2.05,1,West,Oregon,1/1/2002
Death Penalty,5.06,1,Northeast,Pennsylvania,1/1/2002
No Death Penalty,3.84,1,Northeast,Rhode Island,1/1/2002
Death Penalty,7.26,1,South,South Carolina,1/1/2002
Death Penalty,1.45,1,Midwest,South Dakota,1/1/2002
Death Penalty,7.25,1,South,Tennessee,1/1/2002
Death Penalty,5.99,1,South,Texas,1/1/2002
Death Penalty,2.03,1,West,Utah,1/1/2002
No Death Penalty,2.11,1,Northeast,Vermont,1/1/2002
Death Penalty,5.32,1,South,Virginia,1/1/2002
Death Penalty,3.03,1,West,Washington,1/1/2002
No Death Penalty,3.16,1,South,West Virginia,1/1/2002
No Death Penalty,2.83,1,Midwest,Wisconsin,1/1/2002
Death Penalty,3.01,1,West,Wyoming,1/1/2002
Death Penalty,6.64,1,South,Alabama,1/1/2003
No Death Penalty,6.02,1,West,Alaska,1/1/2003
Death Penalty,7.9,1,West,Arizona,1/1/2003
Death Penalty,6.6,1,South,Arkansas,1/1/2003
Death Penalty,6.79,1,West,California,1/1/2003
Death Penalty,4.07,1,West,Colorado,1/1/2003
Death Penalty,3.21,1,Northeast,Connecticut,1/1/2003
Death Penalty,2.57,1,South,Delaware,1/1/2003
Death Penalty,5.44,1,South,Florida,1/1/2003
Death Penalty,7.57,1,South,Georgia,1/1/2003
No Death Penalty,1.76,1,West,Hawaii,1/1/2003
Death Penalty,1.9,1,West,Idaho,1/1/2003
Death Penalty,7.08,1,Midwest,Illinois,1/1/2003
Death Penalty,5.45,1,Midwest,Indiana,1/1/2003
No Death Penalty,1.7,1,Midwest,Iowa,1/1/2003
Death Penalty,4.59,1,Midwest,Kansas,1/1/2003
Death Penalty,4.4,1,South,Kentucky,1/1/2003
Death Penalty,13,1,South,Louisiana,1/1/2003
No Death Penalty,1.22,1,Northeast,Maine,1/1/2003
Death Penalty,9.52,1,South,Maryland,1/1/2003
No Death Penalty,2.18,1,Northeast,Massachusetts,1/1/2003
No Death Penalty,6.07,1,Midwest,Michigan,1/1/2003
No Death Penalty,2.51,1,Midwest,Minnesota,1/1/2003
Death Penalty,9.26,1,South,Mississippi,1/1/2003
Death Penalty,5.05,1,Midwest,Missouri,1/1/2003
Death Penalty,3.27,1,West,Montana,1/1/2003
Death Penalty,3.22,1,Midwest,Nebraska,1/1/2003
Death Penalty,8.79,1,West,Nevada,1/1/2003
Death Penalty,1.32,1,Northeast,New Hampshire,1/1/2003
Death Penalty,4.7,1,Northeast,New Jersey,1/1/2003
Death Penalty,6.17,1,West,New Mexico,1/1/2003
Death Penalty,4.86,1,Northeast,New York,1/1/2003
Death Penalty,6.01,1,South,North Carolina,1/1/2003
No Death Penalty,1.42,1,Midwest,North Dakota,1/1/2003
Death Penalty,4.6,1,Midwest,Ohio,1/1/2003
Death Penalty,5.87,1,South,Oklahoma,1/1/2003
Death Penalty,1.91,1,West,Oregon,1/1/2003
Death Penalty,5.23,1,Northeast,Pennsylvania,1/1/2003
No Death Penalty,2.32,1,Northeast,Rhode Island,1/1/2003
Death Penalty,7.3,1,South,South Carolina,1/1/2003
Death Penalty,1.31,1,Midwest,South Dakota,1/1/2003
Death Penalty,6.77,1,South,Tennessee,1/1/2003
Death Penalty,6.43,1,South,Texas,1/1/2003
Death Penalty,2.55,1,West,Utah,1/1/2003
No Death Penalty,2.42,1,Northeast,Vermont,1/1/2003
Death Penalty,5.65,1,South,Virginia,1/1/2003
Death Penalty,2.97,1,West,Washington,1/1/2003
No Death Penalty,4.03,1,South,West Virginia,1/1/2003
No Death Penalty,3.34,1,Midwest,Wisconsin,1/1/2003
Death Penalty,2.79,1,West,Wyoming,1/1/2003
Death Penalty,5.61,1,South,Alabama,1/1/2004
No Death Penalty,5.63,1,West,Alaska,1/1/2004
Death Penalty,7.21,1,West,Arizona,1/1/2004
Death Penalty,6.4,1,South,Arkansas,1/1/2004
Death Penalty,6.67,1,West,California,1/1/2004
Death Penalty,4.37,1,West,Colorado,1/1/2004
Death Penalty,2.86,1,Northeast,Connecticut,1/1/2004
Death Penalty,3.37,1,South,Delaware,1/1/2004
Death Penalty,5.44,1,South,Florida,1/1/2004
Death Penalty,6.87,1,South,Georgia,1/1/2004
No Death Penalty,2.61,1,West,Hawaii,1/1/2004
Death Penalty,2.22,1,West,Idaho,1/1/2004
Death Penalty,6.14,1,Midwest,Illinois,1/1/2004
Death Penalty,5.08,1,Midwest,Indiana,1/1/2004
No Death Penalty,1.49,1,Midwest,Iowa,1/1/2004
Death Penalty,4.46,1,Midwest,Kansas,1/1/2004
Death Penalty,5.7,1,South,Kentucky,1/1/2004
Death Penalty,12.74,1,South,Louisiana,1/1/2004
No Death Penalty,1.37,1,Northeast,Maine,1/1/2004
Death Penalty,9.37,1,South,Maryland,1/1/2004
No Death Penalty,2.67,1,Northeast,Massachusetts,1/1/2004
No Death Penalty,6.36,1,Midwest,Michigan,1/1/2004
No Death Penalty,2.22,1,Midwest,Minnesota,1/1/2004
Death Penalty,7.83,1,South,Mississippi,1/1/2004
Death Penalty,6.15,1,Midwest,Missouri,1/1/2004
Death Penalty,3.24,1,West,Montana,1/1/2004
Death Penalty,2.29,1,Midwest,Nebraska,1/1/2004
Death Penalty,7.37,1,West,Nevada,1/1/2004
Death Penalty,1.31,1,Northeast,New Hampshire,1/1/2004
Death Penalty,4.51,1,Northeast,New Jersey,1/1/2004
Death Penalty,8.88,1,West,New Mexico,1/1/2004
No Death Penalty,4.61,1,Northeast,New York,1/1/2004
Death Penalty,6.23,1,South,North Carolina,1/1/2004
No Death Penalty,1.26,1,Midwest,North Dakota,1/1/2004
Death Penalty,4.42,1,Midwest,Ohio,1/1/2004
Death Penalty,5.28,1,South,Oklahoma,1/1/2004
Death Penalty,2.51,1,West,Oregon,1/1/2004
Death Penalty,5.24,1,Northeast,Pennsylvania,1/1/2004
No Death Penalty,2.41,1,Northeast,Rhode Island,1/1/2004
Death Penalty,6.81,1,South,South Carolina,1/1/2004
Death Penalty,2.21,1,Midwest,South Dakota,1/1/2004
Death Penalty,6.06,1,South,Tennessee,1/1/2004
Death Penalty,6.07,1,South,Texas,1/1/2004
Death Penalty,1.9,1,West,Utah,1/1/2004
No Death Penalty,2.58,1,Northeast,Vermont,1/1/2004
Death Penalty,5.21,1,South,Virginia,1/1/2004
Death Penalty,3.06,1,West,Washington,1/1/2004
No Death Penalty,3.75,1,South,West Virginia,1/1/2004
No Death Penalty,2.8,1,Midwest,Wisconsin,1/1/2004
Death Penalty,2.17,1,West,Wyoming,1/1/2004
Death Penalty,8.22,1,South,Alabama,1/1/2005
No Death Penalty,4.82,1,West,Alaska,1/1/2005
Death Penalty,7.48,1,West,Arizona,1/1/2005
Death Penalty,6.81,1,South,Arkansas,1/1/2005
Death Penalty,6.92,1,West,California,1/1/2005
Death Penalty,3.71,1,West,Colorado,1/1/2005
Death Penalty,3,1,Northeast,Connecticut,1/1/2005
Death Penalty,4.4,1,South,Delaware,1/1/2005
Death Penalty,4.97,1,South,Florida,1/1/2005
Death Penalty,6.18,1,South,Georgia,1/1/2005
No Death Penalty,1.88,1,West,Hawaii,1/1/2005
Death Penalty,2.45,1,West,Idaho,1/1/2005
Death Penalty,6.03,1,Midwest,Illinois,1/1/2005
Death Penalty,5.68,1,Midwest,Indiana,1/1/2005
No Death Penalty,1.35,1,Midwest,Iowa,1/1/2005
Death Penalty,3.68,1,Midwest,Kansas,1/1/2005
Death Penalty,4.55,1,South,Kentucky,1/1/2005
Death Penalty,9.98,1,South,Louisiana,1/1/2005
No Death Penalty,1.44,1,Northeast,Maine,1/1/2005
Death Penalty,9.88,1,South,Maryland,1/1/2005
No Death Penalty,2.77,1,Northeast,Massachusetts,1/1/2005
No Death Penalty,6.23,1,Midwest,Michigan,1/1/2005
No Death Penalty,2.24,1,Midwest,Minnesota,1/1/2005
Death Penalty,7.36,1,South,Mississippi,1/1/2005
Death Penalty,6.93,1,Midwest,Missouri,1/1/2005
Death Penalty,1.93,1,West,Montana,1/1/2005
Death Penalty,2.5,1,Midwest,Nebraska,1/1/2005
Death Penalty,8.54,1,West,Nevada,1/1/2005
Death Penalty,1.45,1,Northeast,New Hampshire,1/1/2005
Death Penalty,4.79,1,Northeast,New Jersey,1/1/2005
Death Penalty,7.48,1,West,New Mexico,1/1/2005
No Death Penalty,4.52,1,Northeast,New York,1/1/2005
Death Penalty,6.75,1,South,North Carolina,1/1/2005
No Death Penalty,1.89,1,Midwest,North Dakota,1/1/2005
Death Penalty,5.14,1,Midwest,Ohio,1/1/2005
Death Penalty,5.28,1,South,Oklahoma,1/1/2005
Death Penalty,2.2,1,West,Oregon,1/1/2005
Death Penalty,6.09,1,Northeast,Pennsylvania,1/1/2005
No Death Penalty,3.17,1,Northeast,Rhode Island,1/1/2005
Death Penalty,7.39,1,South,South Carolina,1/1/2005
Death Penalty,2.32,1,Midwest,South Dakota,1/1/2005
Death Penalty,7.24,1,South,Tennessee,1/1/2005
Death Penalty,6.14,1,South,Texas,1/1/2005
Death Penalty,2.25,1,West,Utah,1/1/2005
No Death Penalty,1.29,1,Northeast,Vermont,1/1/2005
Death Penalty,6.05,1,South,Virginia,1/1/2005
Death Penalty,3.26,1,West,Washington,1/1/2005
No Death Penalty,4.52,1,South,West Virginia,1/1/2005
No Death Penalty,3.73,1,Midwest,Wisconsin,1/1/2005
Death Penalty,2.75,1,West,Wyoming,1/1/2005
Death Penalty,8.31,1,South,Alabama,1/1/2006
No Death Penalty,5.37,1,West,Alaska,1/1/2006
Death Penalty,8.64,1,West,Arizona,1/1/2006
Death Penalty,7.29,1,South,Arkansas,1/1/2006
Death Penalty,6.82,1,West,California,1/1/2006
Death Penalty,3.6,1,West,Colorado,1/1/2006
Death Penalty,3.91,1,Northeast,Connecticut,1/1/2006
Death Penalty,4.92,1,South,Delaware,1/1/2006
Death Penalty,6.24,1,South,Florida,1/1/2006
Death Penalty,6.46,1,South,Georgia,1/1/2006
No Death Penalty,1.63,1,West,Hawaii,1/1/2006
Death Penalty,2.39,1,West,Idaho,1/1/2006
Death Penalty,6.08,1,Midwest,Illinois,1/1/2006
Death Penalty,5.72,1,Midwest,Indiana,1/1/2006
No Death Penalty,1.84,1,Midwest,Iowa,1/1/2006
Death Penalty,4.52,1,Midwest,Kansas,1/1/2006
Death Penalty,4.11,1,South,Kentucky,1/1/2006
