,State,Year,Unknown,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
407,OK,2008,0,0,3,1,6,1,2,3,1,0,0
408,OK,2009,0,0,2,4,1,0,3,1,0,0,0
409,OK,2010,0,5,1,6,3,2,2,2,0,0,0
410,OK,2011,1,0,2,5,8,2,6,1,0,1,0
411,OK,2012,0,0,3,3,3,6,7,1,0,0,0
412,OK,2013,0,2,2,7,9,5,2,5,3,1,0
413,OK,2014,1,2,4,7,6,6,5,4,1,1,1
414,OK,2015,1,3,4,12,10,10,8,6,1,1,1
415,OK,2016,1,3,3,10,16,16,6,6,2,0,0
416,OK,2017,1,1,6,13,10,12,5,3,0,0,0
417,OR,2003,0,0,0,1,0,1,1,0,0,0,0
418,OR,2004,0,1,2,4,4,0,3,2,1,0,0
419,OR,2005,1,1,1,4,4,3,3,0,0,1,0
420,OR,2006,1,3,1,9,4,2,2,1,0,1,0
421,OR,2007,0,4,2,2,1,6,2,1,0,1,0
422,OR,2008,2,2,0,5,3,6,3,0,0,0,0
423,OR,2009,0,1,0,7,0,3,9,0,2,1,1
424,OR,2010,0,6,1,5,5,5,1,4,0,1,0
425,OR,2011,0,7,4,7,9,5,2,2,1,0,0
426,OR,2012,2,3,4,6,5,0,3,0,2,1,0
427,OR,2013,0,0,3,4,8,3,2,2,2,1,0
428,OR,2014,0,3,1,6,4,3,6,5,1,0,0
429,OR,2015,3,2,3,23,15,19,14,8,5,0,1
430,OR,2016,0,4,7,25,13,14,15,7,5,2,1
431,OR,2017,2,3,6,18,20,13,23,3,4,2,1
432,PA,2013,0,0,0,2,1,0,1,0,0,0,0
433,PA,2014,0,0,0,1,0,0,0,0,0,0,0
434,PA,2015,0,0,0,0,1,0,0,0,0,0,0
435,PA,2016,1,0,0,5,1,1,0,0,0,0,1
436,PA,2017,0,0,0,0,1,1,0,0,0,0,0
437,RI,2004,0,1,1,0,1,0,1,0,1,0,0
438,RI,2005,1,0,1,3,4,1,0,1,0,1,2
439,RI,2006,0,2,0,5,3,5,0,0,0,0,1
440,RI,2007,0,0,3,7,3,3,0,2,1,0,0
441,RI,2008,0,0,8,8,4,4,3,4,0,0,0
442,RI,2009,0,2,5,13,6,1,5,0,0,0,0
443,RI,2010,1,0,3,11,7,3,1,2,0,1,0
444,RI,2011,0,0,3,7,6,3,0,0,1,0,0
445,RI,2012,1,1,1,14,9,5,4,1,0,0,0
446,RI,2013,0,0,4,11,0,5,4,5,2,0,0
447,RI,2014,0,0,1,10,4,7,2,1,1,0,0
448,RI,2015,1,1,0,8,7,7,3,2,1,1,0
449,RI,2016,1,1,1,8,4,4,5,3,0,2,0
450,RI,2017,0,2,1,7,4,3,1,2,0,0,0
451,SC,1991,0,13,51,119,97,53,22,16,4,4,0
452,SC,1992,1,12,36,111,107,51,35,15,8,3,1
453,SC,1993,1,12,54,127,82,64,21,11,11,7,0
454,SC,1994,0,17,44,114,80,43,26,22,9,2,1
455,SC,1995,0,7,21,67,72,41,17,11,8,1,3
456,SC,1996,0,14,34,101,77,47,30,16,16,5,0
