,State,Origin,Agency Name,Agency Type Name,State Abbr,Division Name,Region Name,Region Desc,County Name,NIBRS,Latitude,Longitude,NIBRS Start Date
6930,MI,MI0400400,State Police: Alpena County,State Police,MI,East North Central,Midwest,Region II,ALPENA,True,44.894954,-83.426574,01/01/1998
6931,MI,MI0410400,Alpena County Sheriff's Office,County,MI,East North Central,Midwest,Region II,ALPENA,True,45.079895,-83.44955,01/01/1995
6932,MI,MI0421500,Alpena Police Department,City,MI,East North Central,Midwest,Region II,ALPENA,True,45.066185,-83.438034,01/01/1996
6933,MI,MI0500500,State Police: Antrim County,State Police,MI,East North Central,Midwest,Region II,ANTRIM,True,45.005455,-85.175639,01/01/1998
6934,MI,MI0510500,Antrim County Sheriff's Office,County,MI,East North Central,Midwest,Region II,ANTRIM,True,45.005455,-85.175639,01/01/2002
6935,MI,MI0524500,Bellaire Police Department,City,MI,East North Central,Midwest,Region II,ANTRIM,True,45.005455,-85.175639,01/01/1998
6936,MI,MI0530400,Central Lake Police Department,City,MI,East North Central,Midwest,Region II,ANTRIM,True,45.005455,-85.175639,08/01/2003
6937,MI,MI0537500,Elk Rapids Police Department,City,MI,East North Central,Midwest,Region II,ANTRIM,True,45.005455,-85.175639,01/01/1995
6938,MI,MI0554800,Mancelona Police Department,City,MI,East North Central,Midwest,Region II,ANTRIM,True,45.005455,-85.175639,01/01/1995
6939,MI,MI0600600,State Police: Arenac County,State Police,MI,East North Central,Midwest,Region II,ARENAC,True,43.432793,-83.93655,01/01/1998
6940,MI,MI0610600,Arenac County Sheriff's Office,County,MI,East North Central,Midwest,Region II,ARENAC,True,44.03687,-83.740675,01/01/1995
6941,MI,MI0622500,Au Gres Police Department,City,MI,East North Central,Midwest,Region II,ARENAC,True,44.03687,-83.740675,09/01/2009
6942,MI,MI0676000,Standish Police Department,City,MI,East North Central,Midwest,Region II,ARENAC,True,44.03687,-83.740675,05/01/2007
6943,MI,MI0700700,State Police: Baraga County,State Police,MI,East North Central,Midwest,Region II,BARAGA,True,46.696068,-88.356022,01/01/1998
6944,MI,MI0710700,Baraga County Sheriff's Office,County,MI,East North Central,Midwest,Region II,BARAGA,True,46.757862,-88.45249,01/01/1995
6945,MI,MI0723200,Baraga Police Department,City,MI,East North Central,Midwest,Region II,BARAGA,False,46.696068,-88.356022,04/01/1996
6946,MI,MI0751800,L'Anse Police Department,City,MI,East North Central,Midwest,Region II,BARAGA,False,46.696068,-88.356022,01/01/1995
6947,MI,MI0800800,State Police: Barry County,State Police,MI,East North Central,Midwest,Region II,BARRY,True,42.582811,-85.31455,01/01/1998
6948,MI,MI0810800,Barry County Sheriff's Office,County,MI,East North Central,Midwest,Region II,BARRY,True,42.64864,-85.30355,01/01/1995
6949,MI,MI0823400,Barry Township Police Department,City,MI,East North Central,Midwest,Region II,BARRY,True,42.582811,-85.31455,09/01/2008
6950,MI,MI0841000,Freeport Police Department,City,MI,East North Central,Midwest,Region II,BARRY,False,42.582811,-85.31455,01/01/2001
6951,MI,MI0846400,Hastings Police Department,City,MI,East North Central,Midwest,Region II,BARRY,True,42.6536,-85.28612,01/01/1996
6952,MI,MI0860700,Nashville Police Department,City,MI,East North Central,Midwest,Region II,BARRY,True,42.582811,-85.31455,06/01/1995
6953,MI,MI0868500,Prairieville Township Police Department,City,MI,East North Central,Midwest,Region II,BARRY,True,42.507404,-85.45501,01/01/1998
6954,MI,MI0883200,Woodland Township Police Department,City,MI,East North Central,Midwest,Region II,BARRY,False,42.725197,-85.13425,03/01/2001
6955,MI,MI0900900,State Police: Bay County,State Police,MI,East North Central,Midwest,Region II,BAY,True,43.604893,-83.915054,01/01/1998
6956,MI,MI0910900,Bay County Sheriff's Office,County,MI,East North Central,Midwest,Region II,BAY,True,43.608883,-83.85207,01/01/1995
6957,MI,MI0923900,Bay City Police Department,City,MI,East North Central,Midwest,Region II,BAY,True,43.608883,-83.85207,06/01/1997
6958,MI,MI0938300,Essexville Police Department,City,MI,East North Central,Midwest,Region II,BAY,True,43.613552,-83.846275,01/01/1995
6959,MI,MI0966800,Pinconning Police Department,City,MI,East North Central,Midwest,Region II,BAY,True,43.699711,-83.978701,01/01/1995
6960,MI,MI0988200,Delta College,University or College,MI,East North Central,Midwest,Region II,BAY,True,43.699711,-83.978701,01/01/1995
6961,MI,MI0991500,Hampton Township Police Department,City,MI,East North Central,Midwest,Region II,BAY,True,43.699711,-83.978701,01/01/1995
6962,MI,MI1001000,State Police: Benzie County,State Police,MI,East North Central,Midwest,Region II,BENZIE,True,44.648621,-86.494317,01/01/1998
6963,MI,MI1011000,Benzie County Sheriff's Office,County,MI,East North Central,Midwest,Region II,BENZIE,True,44.624905,-86.09527,01/01/1995
6964,MI,MI1040700,Frankfort Police Department,City,MI,East North Central,Midwest,Region II,BENZIE,True,44.632477,-86.23938,01/01/1995
6965,MI,MI1101100,State Police: Berrien County,State Police,MI,East North Central,Midwest,Region II,BERRIEN,True,41.94767,-86.55907,01/01/1998
6966,MI,MI1111100,Berrien County Sheriff's Office,County,MI,East North Central,Midwest,Region II,BERRIEN,True,42.10951,-86.47704,01/01/1998
6967,MI,MI1123300,Baroda-Lake Township Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.792639,-86.741822,01/01/2009
6968,MI,MI1124800,Benton Harbor Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.792639,-86.741822,01/01/1997
6969,MI,MI1124900,Benton Township Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,42.123055,-86.41682,01/01/1996
6970,MI,MI1125200,Berrien Springs-Oronoko Township Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.792639,-86.741822,01/01/1995
6971,MI,MI1126800,Bridgman Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.792639,-86.741822,01/01/1995
6972,MI,MI1127600,Buchanan Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.82734,-86.36131,01/01/1995
6973,MI,MI1136800,Eau Claire Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.792639,-86.741822,01/01/1995
6974,MI,MI1141800,Galien Police Department,City,MI,East North Central,Midwest,Region II,BERRIEN,True,41.792639,-86.741822,01/01/1998
